script,role,status,entry_mode,core_deps,test_coverage,risk_reason,recommendation,priority
run_full_pipeline_5.py,Official pipeline orchestrator (optuna->trades->optimize->warehouse),Yellow,main() without argparse; module constants control runtime,analysis.optuna_16|analysis.optimize_ensemble|init_warehouse,pytest: test_mainline_smoke (compile); py_compile pass,No argparse/help/dry-run and key parameters are hardcoded in file-level constants,Harden,P1
run_oos_analysis.py,Official OOS ensemble analysis and plotting,Yellow,CLI argparse (--split_date),SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,pytest: test_mainline_smoke (compile + --help); py_compile pass,Ensemble configuration remains hardcoded in script and has no dedicated behavior test,Harden,P2
run_enhanced_ensemble.py,Official enhanced ensemble runner (walk-forward mode),Yellow,CLI argparse,SSS_EnsembleTab,pytest: test_mainline_smoke (compile + --help); py_compile pass,Walk-forward selection uses random sampling defaults and lacks deterministic seed + behavior test,Harden,P2
run_batch_smart_leverage.py,Official batch smart-leverage evaluator across warehouses,Yellow,main() without argparse; module constants control runtime,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,pytest: test_mainline_smoke (compile); py_compile pass,No argparse/help and heavy hardcoded runtime assumptions (paths/network/data side effects),Harden,P1
app_dash.py,Official Dash UI and integrated backtest/analysis endpoint,Yellow,Web app entrypoint (no argparse),SSSv096|sss_core|SSS_EnsembleTab,pytest: test_mainline_smoke (compile) + test_app_dash_subprocess_safety + test_app_dash_vote_diagnostics; py_compile pass,Phase-analysis callbacks import missing symbol SSS_EnsembleTab.trade_contribution_by_phase causing runtime degradation path (caught but feature unavailable),Harden,P1
run_round3_regime_anti_overfit_test.py,Round3 regime-aware anti-overfit walk-forward evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_round3_sequential_new_logic_tests.py,Round3 sequential logic test harness (layered checks),Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_round4_overlay_test.py,Round4 overlay parameter robustness evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_round5_crash_shield_robustness.py,Round5 crash-shield robustness and sensitivity evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|run_round4_overlay_test,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_round6_core_strategy_focus.py,Round6 core strategy focus evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|run_round4_overlay_test,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_round6_followup_tests.py,Round6 follow-up robustness and diagnostics evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|run_round4_overlay_test,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_anti_overfit_full_period_test.py,Full-period anti-overfit walk-forward evaluator,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
run_beta_test.py,Beta strategy selector and evaluator on active warehouse,Yellow,CLI argparse,SSS_EnsembleTab|sss_core.logic|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and no dry-run path,Harden,P2
ensemble_wrapper.py,Utility wrapper for optuna-result conversion and ad-hoc ensemble execution,Red,__main__ demo block without CLI contract,SSSv096|SSS_EnsembleTab,py_compile pass; no argparse help smoke; no pytest target,Executable demo has side effects and no stable parameterized CLI contract; outside mainline lint/test coverage,Merge,P2
predict_tomorrow.py,Daily signal prediction CLI using warehouse and recent trades,Yellow,CLI argparse (--ticker --warehouse),sss_core|analysis.strategy_manager,manual smoke: --help pass; py_compile pass,Outside mainline lint/test scope and relies on hardcoded filesystem locations,Harden,P3
